Relative Humidity,Soil temp.,Soil Wetness,Max temp.,Min temp.,Average temp.,Rainfall,class 
74.5,17.2,0.41,33.18,12.23,20.88,26.37,0
76.75,17.79,0.44,31.28,13.98,21.33,58.01,0
78.75,17.39,0.5,31.11,14.76,21.31,68.55,1
71,17.29,0.5,29.9,11.82,20.58,47.46,0
68.31,17.8,0.48,31.15,12.78,21.01,42.19,0
59.31,19.34,0.43,32.4,12.65,21.94,10.55,0
69.44,19.73,0.41,32.83,15.48,22.49,63.28,0
78.81,17.88,0.51,30.17,14.39,21.22,73.83,1
77.56,17.56,0.48,29.91,13.82,20.58,21.09,0
76,16.75,0.44,30.65,11.48,19.33,0,0
77.75,16.24,0.36,29.33,10.5,19.16,5.27,0
74.94,17.11,0.34,29.53,12.89,19.95,0,0
69.19,18.8,0.31,31.79,12.54,21.65,0,0
76.31,18.08,0.45,32.62,14.19,21.93,63.28,0
77.62,17.72,0.51,31.44,13.11,21.4,63.28,1
66.94,18.54,0.43,31.15,12.4,21.83,0,0
64.44,18.89,0.37,31.96,13.7,21.98,42.19,0
64.62,19.16,0.41,32.57,13.79,22.19,10.55,0
61.56,20.52,0.31,34.29,14.67,23.52,15.82,0
76.44,18.97,0.47,31.5,15.46,22,68.55,0
78.75,18,0.48,30.15,14.59,21.15,42.19,1
72.06,18.19,0.43,31.32,13.23,20.64,10.55,0
68.69,17.28,0.28,30.01,11.51,19.61,0,0
69.69,18.28,0.25,29.73,12.05,20.08,0,0
65,19.62,0.25,32.08,12.67,21.65,0,0
74.81,18.39,0.41,32.3,13.13,21.48,63.28,0
75.06,18.24,0.48,30.55,14.38,21.7,31.64,0
79.62,17.63,0.52,30.54,14.73,21.3,121.29,0
72.31,17.55,0.52,31.09,13.26,21.23,36.91,0
74.25,18.71,0.47,32.57,13.33,22.29,31.64,0
80.56,18.27,0.49,31.96,15.09,22.3,73.83,1
83.19,18.1,0.53,31.3,15.58,21.89,89.65,1
83.62,17.12,0.55,29.34,13.7,20.82,63.28,1
81.5,16.44,0.47,29.44,12.87,20.03,0,1
78.44,15.93,0.37,28.9,12.32,19.4,5.27,1
77.94,16.28,0.34,30.44,11.94,19.79,5.27,0
75.12,17.07,0.36,31.14,11.65,20.72,5.27,0
77,17.69,0.35,32.48,13.5,22.01,26.37,0
81.94,17.33,0.48,30.48,15.32,21.49,68.55,1
72.06,17.74,0.46,31.39,13.16,21.49,52.73,0
60.62,19.03,0.38,32.87,12.67,22.02,0,0
56.25,19.72,0.36,34.32,13.51,22.75,31.64,0
65.94,19.93,0.39,33.03,14.13,22.98,36.91,0
75.38,19.08,0.47,31.72,15.3,22.28,42.19,0
78.5,17.95,0.45,31.08,15.23,21.44,26.37,1
80.44,17.03,0.4,30.4,12,20.58,21.09,1
75.75,16.69,0.35,30.39,10.45,20.1,0,0
79.81,16.22,0.41,30.22,11.99,19.74,21.09,1
76.75,17.55,0.34,32.08,13.17,21.23,0,0
80.31,17.45,0.48,32.29,13.62,21.3,131.84,1
83.94,16.9,0.6,30.23,14.62,20.83,158.2,1
79,16.45,0.55,29.41,13.13,20.62,10.55,1
61.81,17.13,0.42,32.09,9.98,21.54,0,0
60.56,18.87,0.29,33.11,12.44,23.03,5.27,0
57.56,20.3,0.3,34.49,15.21,23.51,0,0
80.69,17.91,0.52,32.76,15.39,21.48,184.57,1
85.06,16.53,0.66,27.93,13.92,19.94,89.65,1
84.06,15.69,0.52,28.25,12.1,19.27,10.55,1
83.5,15.5,0.46,29.26,12.61,19.25,5.27,1
80.12,15.76,0.41,30.59,11.96,19.91,15.82,1
74.88,17.01,0.31,32.7,11.73,21.33,0,0
77.5,17.65,0.41,32.4,12.98,21.85,68.55,0
81.5,17.46,0.51,30.9,14.58,21.68,89.65,1
82.94,16.94,0.54,29.84,13.51,21.01,100.2,1
73.88,17.89,0.5,31.63,13.5,21.72,21.09,0
61.5,19.74,0.41,33.26,14.18,23,0,0
73.12,19.8,0.4,33.12,15.83,23.08,63.28,0
85.56,17.39,0.62,30.05,15.33,21.13,168.75,1
81.44,16.49,0.54,29.98,12.9,20.04,5.27,1
82.5,15.77,0.46,28.98,12.08,19.32,10.55,1
79.38,15.73,0.37,31.91,11.51,19.51,5.27,1
79.62,16,0.38,29.47,11.47,19.48,0,1
74.44,17.58,0.35,32.42,12.96,21.29,15.82,0
70.19,18.62,0.32,31.85,13.24,22.16,0,0
80.38,17.59,0.48,31.69,14.01,21.48,84.38,1
80.56,16.96,0.57,29.39,13.62,20.63,121.29,1
63.62,19.05,0.46,31.58,13.51,21.94,0,0
69.38,18.9,0.45,32.65,14.44,22.22,52.73,0
73.25,19.15,0.48,31.87,14.87,22.22,58.01,0
78.69,18.44,0.49,31.71,14.76,22.07,52.73,0
79.12,17.65,0.48,30.6,12.86,20.92,36.91,1
78.75,17.24,0.43,30.23,12.2,20.05,10.55,1
76.75,16.9,0.31,30.52,12.37,19.91,0,0
77.5,16.66,0.39,30.76,11.5,19.95,21.09,0
72.5,17.83,0.38,31.34,12.08,20.73,10.55,0
74.44,18.67,0.41,31.87,13.14,21.96,36.91,0
81.62,17.6,0.5,30.8,15.76,21.55,94.92,1
75.94,17.7,0.5,30.92,13.92,21.37,52.73,0
54.25,18.91,0.38,32.74,11.94,22.09,0,0
60.31,20.15,0.35,34.15,14.63,23.33,31.64,0
63.31,19.49,0.37,33.04,13.83,22.87,36.91,0
82.06,18.05,0.48,32.45,14.73,22.41,89.65,1
84.94,16.88,0.51,29.66,13.76,20.98,42.19,1
83.44,16.52,0.47,29.16,11.72,20.15,10.55,1
81.19,16.13,0.38,31.1,10.59,19.7,5.27,1
76.31,16.87,0.34,30.19,11.29,20.16,0,0
68,18.49,0.25,32.62,11.64,21.67,0,0
77.88,18.2,0.4,32.6,14.8,22.52,26.37,0
85.88,17.33,0.52,31.12,15.57,21.83,131.84,1
84,16.88,0.59,30.8,13.83,21.2,105.47,1
81.25,17.26,0.54,31.34,14.58,21.84,63.28,1
71,17.92,0.47,32.9,13.52,22.61,31.64,0
74.19,19.23,0.39,35.09,15.58,24.45,10.55,0
82.81,18.32,0.5,32.48,15.26,22.44,116.02,1
83.88,16.9,0.49,29.87,12.51,20.73,42.19,1
82.75,15.94,0.45,29.69,11.91,19.66,15.82,1
80.94,15.64,0.33,30.83,10.76,19.68,0,1
77.81,16.09,0.3,31.44,12.55,19.87,0,0
73.44,17.6,0.28,31.21,12.51,20.61,0,0
70.31,18.48,0.29,32.58,13.65,22.22,10.55,0
82.5,17.19,0.52,31.24,13.91,21.35,147.66,1
79.06,16.87,0.5,30.37,13.4,21.51,21.09,1
65,17.8,0.36,32.55,13.05,22.33,5.27,0
70.19,18.76,0.34,33.07,14.66,23.05,10.55,0
64.19,20.4,0.3,34.44,15.8,24.3,0,0
77.19,18.74,0.45,32.45,15.04,22.55,52.73,0
82.12,17.07,0.54,29.46,13.97,20.52,100.2,1
79.31,16.98,0.47,29.01,12.92,20.08,5.27,1
80,16.58,0.37,30.31,12.65,20.01,0,1
78.25,16.7,0.35,30.21,12.64,20.33,0,1
77.12,17.25,0.36,31.58,12.49,21.03,5.27,0
77.94,17.81,0.4,32.03,13.26,22.32,47.46,0
84.81,16.8,0.52,29.56,14.24,21.17,94.92,1
77.12,16.55,0.47,31.26,13.83,21.6,26.37,0
66.06,17.58,0.31,33.24,13.7,22.83,0,0
67.75,18.85,0.25,34.5,13.81,23.4,0,0
84.06,16.94,0.59,31.37,14.46,21.29,210.94,1
87.44,16.65,0.7,29.01,14.41,20.37,258.4,1
88.56,15.95,0.77,26.33,12.68,19.15,84.38,1
89,15.08,0.64,26.29,10.62,18.26,5.27,1
87.5,14.32,0.52,28.12,10.58,18.14,10.55,1
84.81,14.83,0.45,28.58,11.79,19.02,0,1
81.12,15.88,0.34,31.29,12.86,20.98,0,1
82.62,16.65,0.38,32.15,13.15,21.65,31.64,1
84.88,16.95,0.46,31.51,14.62,22.09,52.73,1
84.69,16.44,0.51,29.8,14.97,21.53,89.65,0
77.06,16.54,0.45,32.23,14.49,22.17,15.82,0
72.31,18.02,0.29,34.25,14.98,23.62,0,0
63.69,19.87,0.25,35.13,15.77,24.66,0,0
72.31,20.19,0.33,33.73,14.66,23.95,21.09,0
78.44,18.09,0.46,30.99,13.24,21.44,31.64,0
81.56,17.34,0.47,29.55,12.82,20.1,26.37,1
77.38,16.94,0.37,30.83,12.01,20.37,10.55,1
74.5,17.55,0.34,31.08,13.05,20.74,0,0
72.62,18.25,0.31,31.78,13.66,21.7,10.55,0
82.75,17.44,0.55,30.01,14.05,21.05,189.84,1
85.19,17.3,0.62,29.04,14.78,20.82,121.29,1
86.19,17.09,0.7,28.55,14.33,20.6,147.66,1
